OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.514	0.885	0
0.500333	0.513667	0.893	0
0.500333	0.505333	0.878333	0
0.500333	0.505	0.878	0
0.500333	0.503667	0.872	0
0.500667	0.503	0.872	0
0.500333	0.509667	0.888333	0
0.500333	0.508667	0.886	0
0.500333	0.504333	0.877667	0
0.501	0.504667	0.881	0
0.501	0.508	0.885	0
0.500667	0.509	0.888667	0
0.500667	0.502667	0.859667	0
0.501	0.509333	0.891	0
0.501667	0.514	0.898	0
0.500667	0.505333	0.881	0
0.501	0.508667	0.888	0
0.501	0.509	0.89	0
0.502333	0.514333	0.898667	0
0.501	0.505333	0.882667	0
0.501667	0.509333	0.892	0
0.501667	0.510667	0.893333	0
0.501	0.510667	0.892667	0
0.501333	0.513667	0.896667	0
0.502667	0.508667	0.889667	0
0.501333	0.505333	0.883	0
0.500667	0.513667	0.895667	0
0.500667	0.515667	0.898	0
0.500667	0.504	0.877333	0
0.500333	0.515667	0.897	0
0.501333	0.504667	0.881333	0
0.500667	0.509333	0.890333	0
0.502	0.508333	0.887667	0
0.500667	0.508333	0.885333	0
0.500333	0.503333	0.858667	0
0.501	0.514333	0.898333	0
0.500667	0.504667	0.878667	0
0.502	0.513333	0.895667	0
0.501333	0.515	0.899	0
0.501667	0.515	0.899333	0
0.501333	0.504	0.879	0
0.502	0.516	0.900333	0
0.502	0.505667	0.883667	0
0.500667	0.505	0.879667	0
0.501	0.511	0.893333	0
0.500333	0.516	0.897333	0
0.501	0.503667	0.877667	0
0.500667	0.508	0.884333	0
0.502333	0.516333	0.900667	0
0.502667	0.51	0.893333	1
0.500333	0.504	0.877	0
0.500667	0.508667	0.887333	0
0.501	0.51	0.892	0
0.500667	0.516	0.898333	0
0.502	0.506	0.884	0
0.500333	0.515333	0.896667	0
0.501667	0.508667	0.889333	0
0.500667	0.510667	0.892	0
0.501333	0.505	0.881667	0
0.500667	0.503667	0.876	0
0.501667	0.51	0.893	0
0.500333	0.510333	0.891667	0
0.501667	0.507333	0.884333	0
0.501	0.502333	0.856	0
0.500667	0.505667	0.881333	0
0.501	0.514	0.897	0
0.501333	0.508333	0.887333	0
0.501667	0.512	0.894	0
0.501333	0.513333	0.895333	0
0.501333	0.508	0.886667	0
0.501667	0.516	0.9	0
0.501	0.513333	0.894	0
0.500667	0.502333	0.855667	0
0.502667	0.514667	0.899	0
0.501333	0.505667	0.883333	0
0.502333	0.510333	0.893333	0
0.502333	0.509667	0.892667	0
0.500333	0.515	0.895667	0
0.500333	0.506	0.879667	0
0.502	0.509333	0.892333	0
0.500333	0.507	0.880333	0
0.500667	0.514	0.896	0
0.501667	0.509	0.891667	0
0.500667	0.511	0.893	0
0.500667	0.51	0.890667	0
0.500667	0.506333	0.882	0
0.501667	0.515667	0.899667	0
