OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.500333	0.506	0.902333	0
0.500333	0.505667	0.901667	0
0.500667	0.506333	0.903667	0
0.500333	0.509	0.909333	0
0.501	0.505333	0.901667	0
0.501667	0.503667	0.898333	0
0.500333	0.508	0.905667	0
0.500667	0.504	0.898667	0
0.501	0.508667	0.91	0
0.500333	0.506667	0.902667	0
0.500667	0.505333	0.901333	0
0.500333	0.504	0.895667	0
0.501	0.504333	0.899667	0
0.500333	0.503333	0.893333	0
0.502333	0.505333	0.903	0
0.5	0.506667	0.901	0
0.501667	0.506333	0.904333	0
0.502	0.505333	0.902667	0
0.500667	0.502667	0.891333	0
0.500333	0.507	0.903667	0
0.501333	0.502667	0.893333	0
0.500667	0.503	0.893667	0
0.500667	0.503667	0.895667	0
0.501333	0.509667	0.913667	0
0.500333	0.502333	0.883	0
0.500667	0.509667	0.912333	0
0.500667	0.511333	0.914333	0
0.500667	0.504333	0.899333	0
0.501667	0.508333	0.909667	0
0.500333	0.509333	0.911667	0
0.501333	0.505	0.901667	0
0.501	0.507667	0.906	0
0.501	0.503667	0.896667	0
0.501667	0.511333	0.915333	0
0.500667	0.508333	0.907333	0
0.500333	0.505333	0.900667	0
0.500667	0.507333	0.905	0
0.500667	0.502333	0.890333	0
0.501333	0.509333	0.913333	1
0.500333	0.504667	0.898	0
0.501	0.510667	0.914333	0
0.501667	0.506	0.904	0
0.501	0.511333	0.914667	0
0.501333	0.503667	0.897667	0
0.500667	0.509	0.910333	0
0.501667	0.508667	0.911	0
0.500667	0.507	0.904667	0
0.501	0.51	0.913	0
0.501	0.510333	0.913333	0
0.500667	0.506667	0.904	0
0.501	0.508333	0.909	0
0.501	0.507333	0.905333	0
0.500333	0.503	0.89	0
0.501	0.509667	0.912667	0
0.501	0.509333	0.912	0
0.500667	0.502	0.888667	0
0.502	0.509	0.912333	0
0.501667	0.509667	0.914333	0
0.500667	0.507667	0.905667	0
0.502333	0.505	0.902	0
0.501	0.502667	0.892667	0
0.500333	0.507667	0.904667	0
0.501	0.503333	0.895333	0
0.501333	0.511	0.915	0
0.501333	0.505667	0.902667	0
0.500667	0.508	0.906667	0
0.501333	0.509	0.911333	0
0.500667	0.510667	0.914	0
0.501333	0.510333	0.914	0
0.501333	0.511667	0.915333	0
