OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.500667	0.503	0.509667	0.737	0
0.500667	0.504667	0.514	0.761333	0
0.500667	0.506	0.517667	0.769667	0
0.501333	0.502667	0.512667	0.755667	0
0.500667	0.506	0.515667	0.765333	0
0.500667	0.504667	0.518333	0.768667	0
0.501	0.504667	0.518667	0.769333	0
0.501667	0.505333	0.521	0.774667	0
0.501667	0.506333	0.522	0.779333	0
0.500667	0.507667	0.520333	0.774	0
0.501667	0.505667	0.519333	0.771333	0
0.501333	0.503333	0.511333	0.756667	0
0.501667	0.504	0.518	0.766667	0
0.500333	0.505667	0.516333	0.764667	0
0.501333	0.502667	0.513667	0.756333	0
0.502	0.506333	0.519667	0.772333	0
0.501	0.507333	0.521333	0.776333	0
0.500667	0.505333	0.517333	0.769333	0
0.501667	0.507667	0.525	0.781667	0
0.500667	0.504333	0.518	0.768333	0
0.501	0.504	0.518333	0.768	0
0.500333	0.505333	0.522667	0.768667	0
0.501333	0.505333	0.519	0.771	0
0.501333	0.504	0.511667	0.757333	0
0.501	0.504333	0.513667	0.760667	0
0.501333	0.507	0.524333	0.780333	0
0.502667	0.505	0.514667	0.766667	0
0.501	0.504667	0.522	0.771667	0
0.501	0.504333	0.513333	0.759333	0
0.500667	0.505333	0.518333	0.769667	0
0.501667	0.506333	0.515333	0.768	0
0.501	0.504667	0.517667	0.768333	0
0.501667	0.507	0.521667	0.778667	0
0.501	0.503667	0.511	0.757	0
0.501333	0.503333	0.51	0.737667	0
0.500667	0.508	0.525333	0.779333	0
0.501	0.507	0.520333	0.776	0
0.501	0.503333	0.517	0.761	1
0.501333	0.504333	0.515333	0.766333	0
0.500667	0.505333	0.522	0.773	0
0.501333	0.504333	0.521667	0.771333	0
0.500667	0.504667	0.517333	0.768	0
0.501333	0.507667	0.525	0.781333	0
0.501333	0.506667	0.521333	0.776333	0
0.500667	0.506	0.522667	0.775	0
0.501	0.505667	0.522	0.775333	0
0.500667	0.506333	0.522667	0.777333	0
0.501667	0.506	0.518333	0.772	0
0.500667	0.505	0.513	0.755	0
0.501333	0.503333	0.512	0.757667	0
0.500667	0.504667	0.513667	0.760333	0
0.501333	0.503	0.513	0.756	0
0.500667	0.504333	0.519333	0.768667	0
0.501333	0.506667	0.523	0.778	0
0.501	0.506667	0.522667	0.777667	0
0.502333	0.506	0.522333	0.778333	0
0.501333	0.506333	0.521	0.774	0
0.501333	0.506667	0.520667	0.772333	0
0.501	0.507	0.52	0.772667	0
0.501	0.503	0.511333	0.755333	0
0.501	0.507667	0.524333	0.780667	0
0.502	0.504	0.514333	0.764	0
0.501667	0.504667	0.513667	0.765333	0
0.500333	0.506	0.516	0.762	0
0.500667	0.503667	0.514333	0.758	0
0.500667	0.505333	0.516	0.767667	0
0.502333	0.507333	0.524667	0.781333	0
0.501	0.506	0.521667	0.776	0
0.501333	0.505333	0.523667	0.775667	0
0.501333	0.505667	0.521667	0.774333	0
0.500667	0.506667	0.522333	0.776333	0
0.501333	0.506667	0.521667	0.777667	0
0.501	0.506333	0.522333	0.776333	0
0.501333	0.505667	0.522333	0.777667	0
0.500667	0.504	0.518667	0.766	0
0.502	0.506667	0.522333	0.78	0
0.501667	0.506333	0.523667	0.780333	0
0.500667	0.507	0.521	0.774	0
0.501	0.506	0.518667	0.771	0
0.501	0.506	0.518	0.770667	0
0.501333	0.505667	0.518333	0.771	0
0.502667	0.505333	0.514333	0.766	0
0.503333	0.505333	0.514	0.765667	0
0.502667	0.504667	0.521333	0.774333	0
0.501333	0.503667	0.508333	0.735667	0
0.501333	0.503333	0.508667	0.736333	0
0.501667	0.507333	0.523667	0.780667	0
0.501333	0.506	0.523667	0.779667	0
0.500667	0.504	0.513667	0.753333	0
0.501	0.504667	0.515333	0.765333	0
0.500667	0.505333	0.515333	0.764333	0
0.501333	0.507	0.515333	0.766667	0
0.501667	0.506667	0.521667	0.778	0
0.500667	0.507	0.526	0.780667	0
0.500667	0.507333	0.520667	0.775	0
0.501667	0.505667	0.515	0.766667	0
0.502	0.505	0.514333	0.765667	0
0.501333	0.506	0.514667	0.765	0
0.500667	0.505	0.522667	0.772	0
0.501333	0.505	0.517	0.768	0
