OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.501333	0.506667	0.517667	0.548	0.684	0
0.501333	0.506333	0.517667	0.546333	0.680333	0
0.503333	0.506	0.516333	0.545667	0.678667	0
0.502333	0.506333	0.517	0.545667	0.678	0
0.502667	0.506	0.516333	0.545667	0.678	0
0.501667	0.504667	0.517	0.547333	0.678	0
0.501667	0.505333	0.517	0.545667	0.677333	0
0.501667	0.505	0.516333	0.546333	0.678	0
0.501667	0.505333	0.516667	0.546	0.677	0
0.503	0.505333	0.516	0.549333	0.68	0
0.502667	0.505667	0.516667	0.548	0.679	0
0.501667	0.505333	0.517	0.55	0.680667	0
0.502	0.506	0.517333	0.55	0.682	0
0.501333	0.506333	0.518667	0.550333	0.684	0
0.501667	0.505	0.519	0.55	0.681333	0
0.501667	0.507667	0.517333	0.542667	0.667667	0
0.501	0.506333	0.517667	0.543333	0.669	0
0.501667	0.506333	0.516	0.546667	0.678	0
0.501667	0.506	0.516333	0.546	0.678333	0
0.502	0.505667	0.517333	0.545333	0.675333	0
0.501333	0.506667	0.517333	0.548667	0.681	0
0.501333	0.506667	0.517	0.546667	0.680333	0
0.501333	0.505667	0.518333	0.545667	0.675	0
0.501333	0.507	0.516667	0.545667	0.678333	0
0.501667	0.505	0.519	0.548333	0.68	0
0.502	0.505333	0.519333	0.549333	0.683333	0
0.501333	0.505333	0.519	0.549667	0.681333	0
0.502333	0.505667	0.521333	0.550333	0.686333	0
0.502	0.506	0.520667	0.549333	0.685333	0
0.501667	0.506	0.519333	0.551333	0.685333	0
0.501667	0.506333	0.519667	0.55	0.685667	0
0.502	0.506333	0.52	0.549	0.685333	0
0.501667	0.505667	0.519667	0.55	0.685333	0
0.501667	0.506667	0.519667	0.549	0.684333	0
0.503333	0.509333	0.518333	0.544667	0.676667	0
0.503333	0.509	0.518667	0.544667	0.677	0
0.502333	0.507333	0.519333	0.543667	0.676333	0
0.501333	0.507667	0.52	0.544	0.675333	0
0.501667	0.509667	0.52	0.552	0.689667	0
0.501667	0.509	0.520333	0.553	0.690667	0
0.502	0.508333	0.518667	0.550667	0.690333	0
0.501667	0.508667	0.519	0.550333	0.688667	0
0.503	0.508667	0.519	0.547333	0.684667	0
0.502667	0.508333	0.519667	0.546667	0.683667	0
0.503	0.508667	0.519667	0.547667	0.685333	0
0.503333	0.508333	0.518333	0.55	0.691667	0
0.504	0.507667	0.518333	0.549333	0.69	0
0.503333	0.508	0.518333	0.549667	0.691333	1
0.503333	0.508667	0.518	0.551333	0.69	0
0.503333	0.508	0.519	0.549667	0.694	0
0.503333	0.507333	0.518333	0.548	0.684333	0
0.502	0.507	0.518667	0.550333	0.686	0
0.502333	0.506667	0.518	0.550333	0.686	0
0.501333	0.507667	0.516	0.546333	0.678	0
0.501	0.508	0.516	0.546	0.678333	0
0.501667	0.507667	0.516667	0.547	0.680333	0
0.501333	0.508667	0.516333	0.547333	0.681	0
0.501333	0.507	0.515667	0.550333	0.678667	0
0.502667	0.507667	0.514667	0.545667	0.675667	0
0.502	0.507	0.515	0.546333	0.677	0
0.502	0.507	0.515667	0.547	0.679333	0
0.502	0.507	0.515667	0.545333	0.676	0
0.502333	0.506	0.516333	0.544333	0.675333	0
0.501333	0.506333	0.515667	0.545	0.675	0
0.501667	0.507667	0.516667	0.544667	0.675	0
0.501667	0.506667	0.516667	0.545333	0.676	0
0.501333	0.506333	0.515667	0.544333	0.672	0
0.501667	0.506	0.515	0.544667	0.671667	0
0.502333	0.506	0.515667	0.548	0.678333	0
0.502667	0.506	0.515667	0.542333	0.665667	0
0.502333	0.507333	0.516333	0.542667	0.666	0
0.502333	0.506333	0.515667	0.542	0.665667	0
0.502667	0.506667	0.516333	0.541	0.666	0
0.502667	0.506667	0.516333	0.541333	0.666667	0
0.502667	0.506667	0.517667	0.542	0.669	0
0.501333	0.505333	0.514	0.546667	0.671333	0
0.501	0.505667	0.514333	0.547	0.67	0
0.501333	0.505	0.514333	0.545667	0.670667	0
0.501333	0.505333	0.515	0.546	0.671333	0
0.501	0.504667	0.515667	0.547667	0.672333	0
0.501333	0.505333	0.515333	0.550333	0.677	0
0.501	0.504667	0.515333	0.550333	0.676	0
0.501333	0.506	0.515	0.550667	0.677	0
0.501667	0.505667	0.514333	0.548333	0.673667	0
0.501333	0.505667	0.517	0.548667	0.676667	0
0.501	0.505667	0.516333	0.548	0.675	0
0.501667	0.505	0.515333	0.546333	0.672667	0
0.501	0.505	0.515667	0.548	0.674333	0
0.501	0.505333	0.517333	0.546	0.673	0
0.501333	0.505667	0.517667	0.545	0.671333	0
0.501333	0.505	0.516667	0.545333	0.671667	0
0.502667	0.504333	0.515333	0.547667	0.671667	0
0.502333	0.504	0.516333	0.547667	0.672333	0
0.501667	0.505333	0.513333	0.545	0.668333	0
0.502333	0.504333	0.515333	0.546667	0.666667	0
0.501333	0.505	0.514667	0.546667	0.672	0
0.503	0.505333	0.515333	0.544333	0.675667	0
0.502	0.505667	0.516	0.548333	0.676333	0
0.501333	0.507	0.514667	0.544667	0.668	0
0.501	0.506667	0.515333	0.543333	0.669	0
