OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.532667	0.885	0
0.5	0.510333	0.878333	0
0.500333	0.507333	0.878	0
0.5	0.504667	0.873667	0
0.500333	0.510667	0.882	0
0.500333	0.502	0.867667	0
0.5	0.536	0.886667	0
0.500667	0.505333	0.876333	0
0.501333	0.504	0.873333	0
0.500333	0.533	0.886667	0
0.501	0.505333	0.877333	0
0.501	0.536333	0.89	0
0.500667	0.505	0.876	0
0.500667	0.535	0.888667	0
0.501	0.512667	0.885667	0
0.501	0.512	0.885	0
0.500333	0.537	0.89	0
0.500667	0.505667	0.877	0
0.500333	0.532667	0.886	0
0.500333	0.505333	0.875333	0
0.501667	0.509	0.882333	0
0.500667	0.503	0.871333	0
0.501	0.536667	0.890333	0
0.500333	0.536	0.889333	0
0.502667	0.510333	0.885333	0
0.501	0.511667	0.884	0
0.503333	0.514333	0.888	0
0.501333	0.504667	0.875667	0
0.501667	0.509667	0.883333	0
0.500333	0.503333	0.871667	0
0.501667	0.508667	0.882	0
0.500333	0.501	0.864667	0
0.501	0.504	0.873	0
0.501333	0.511	0.883667	0
0.500333	0.501333	0.866	0
0.500333	0.505667	0.875667	0
0.502667	0.514667	0.888333	0
0.501	0.507667	0.879667	0
0.500667	0.507667	0.878667	0
0.500667	0.511	0.882333	0
0.5	0.511	0.881	0
0.500667	0.510333	0.881667	0
0.500667	0.512667	0.885333	0
0.502667	0.513333	0.886667	0
0.500667	0.508333	0.881	0
0.502	0.515333	0.887	0
0.501	0.533333	0.887	0
0.5	0.501667	0.865	0
0.501667	0.510667	0.883667	0
0.502	0.511	0.884333	0
0.501	0.504333	0.873333	0
0.501333	0.509333	0.881667	0
0.500333	0.535667	0.888667	0
0.502333	0.514	0.887	0
0.500667	0.511333	0.883333	0
0.501333	0.503667	0.873	0
0.501	0.503667	0.872333	0
0.502333	0.51	0.885	0
0.501333	0.515	0.886333	0
0.500667	0.534333	0.887667	0
0.500667	0.532333	0.885667	0
0.501	0.510333	0.882	0
0.501333	0.505333	0.877667	0
0.500667	0.511667	0.883667	0
0.501333	0.510333	0.882667	0
0.500333	0.504333	0.873	0
0.501333	0.506	0.878	0
0.502667	0.513	0.886	0
0.501667	0.514	0.886667	0
0.500333	0.504	0.872	0
0.502	0.509	0.883667	1
0.502	0.513667	0.886667	0
0.501333	0.514333	0.886	0
0.500333	0.506667	0.877667	0
0.501333	0.505	0.876667	0
0.500667	0.504667	0.875	0
0.502	0.508333	0.882	0
0.500333	0.535333	0.887667	0
0.501667	0.511	0.884	0
0.501	0.510667	0.883333	0
0.502	0.515667	0.887667	0
0.502667	0.514	0.887333	0
0.500333	0.513333	0.884667	0
0.500333	0.508333	0.879333	0
0.500333	0.502667	0.869667	0
0.500333	0.510333	0.881	0
