OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.501667	0.504667	0.522333	0.760667	0
0.501	0.503333	0.508	0.735667	0
0.501667	0.503333	0.512667	0.749667	0
0.502667	0.504667	0.521	0.760667	0
0.500667	0.504667	0.517333	0.753	0
0.500667	0.506	0.523	0.758	0
0.500667	0.503333	0.524	0.755667	0
0.500667	0.503333	0.522333	0.754333	0
0.500667	0.503667	0.507667	0.735667	0
0.500667	0.503667	0.507333	0.734	0
0.501	0.504	0.509	0.739	0
0.501	0.503	0.508333	0.734667	0
0.501	0.503667	0.515333	0.748667	0
0.501	0.503333	0.509	0.737667	0
0.501	0.504333	0.514667	0.749	0
0.501	0.503333	0.516	0.748	1
0.501	0.503	0.517	0.748667	0
0.500333	0.504333	0.519333	0.748	0
0.501	0.503333	0.522	0.755333	0
0.500667	0.503667	0.512	0.740333	0
0.501	0.506667	0.515667	0.753	0
0.501	0.504	0.521	0.757333	0
0.502333	0.505333	0.519667	0.759	0
0.500667	0.504	0.507667	0.736	0
0.501667	0.503333	0.523333	0.758	0
0.501333	0.503	0.513333	0.746	0
0.501	0.505	0.514333	0.751	0
0.501333	0.503333	0.513333	0.748667	0
0.502333	0.505333	0.511333	0.748667	0
0.501333	0.505333	0.521	0.759	0
0.502333	0.504667	0.517	0.757	0
0.502	0.504333	0.507333	0.737	0
0.501333	0.503667	0.516667	0.749333	0
0.500667	0.502667	0.508333	0.726333	0
0.501	0.503333	0.512333	0.743667	0
0.500667	0.506667	0.515333	0.752	0
0.501333	0.504	0.512333	0.749333	0
0.501333	0.504667	0.511	0.744667	0
0.501	0.503667	0.520667	0.756333	0
0.501	0.503	0.514	0.745667	0
0.501667	0.504333	0.521	0.759667	0
0.501333	0.505667	0.521	0.76	0
0.501333	0.503667	0.508333	0.736	0
0.501333	0.503667	0.509667	0.739667	0
0.500667	0.504333	0.521333	0.755667	0
0.501667	0.503333	0.511667	0.748333	0
0.502	0.504	0.513667	0.75	0
0.501667	0.503667	0.512	0.749333	0
0.502667	0.504667	0.520667	0.759333	0
0.500667	0.504667	0.517	0.752667	0
0.500667	0.505333	0.518	0.753333	0
0.501	0.503	0.523667	0.755	0
0.501	0.503667	0.509	0.738667	0
0.501	0.504333	0.508667	0.738	0
0.502	0.505	0.517	0.756	0
0.502	0.505	0.517667	0.758333	0
0.501667	0.503333	0.517333	0.751667	0
0.501333	0.503333	0.517333	0.749667	0
0.501667	0.503	0.517667	0.750333	0
0.500667	0.503	0.51	0.732	0
0.501	0.503	0.509	0.735	0
0.500667	0.504	0.516667	0.747333	0
0.501	0.503	0.509333	0.735667	0
0.501333	0.506	0.516667	0.756	0
0.500667	0.505667	0.517333	0.753667	0
0.501333	0.505	0.517667	0.756	0
0.500667	0.503667	0.519	0.747333	0
0.500333	0.504	0.519333	0.746333	0
0.501	0.503667	0.521333	0.756667	0
0.500667	0.503667	0.52	0.755333	0
0.502	0.505667	0.520333	0.759333	0
0.501667	0.503333	0.522667	0.757333	0
0.502	0.503	0.513	0.745333	0
0.501667	0.503333	0.518333	0.754333	0
0.501667	0.504333	0.520667	0.759	0
0.502333	0.504	0.521333	0.758667	0
0.501667	0.504333	0.521667	0.760333	0
0.501333	0.504333	0.521667	0.76	0
0.501	0.504667	0.513333	0.748667	0
0.501	0.504667	0.514667	0.750667	0
0.501	0.502667	0.513	0.742333	0
0.501	0.503333	0.513667	0.745333	0
0.501333	0.503667	0.512333	0.748	0
0.501333	0.503333	0.511333	0.747333	0
0.502333	0.505	0.510667	0.746667	0
0.501333	0.505	0.520667	0.758333	0
0.500667	0.503667	0.509333	0.738	0
0.501	0.503333	0.519333	0.754667	0
0.502333	0.504333	0.517333	0.756667	0
0.502667	0.504	0.518667	0.756	0
0.501	0.503333	0.511667	0.740333	0
0.502	0.503667	0.516	0.750667	0
0.501667	0.504	0.511	0.742333	0
0.502	0.504	0.510333	0.744667	0
0.502	0.503667	0.510667	0.744333	0
0.501333	0.504	0.515333	0.753333	0
0.500667	0.505667	0.515333	0.751	0
0.501667	0.506	0.514667	0.751333	0
0.501667	0.505	0.512667	0.75	0
0.501667	0.504	0.511667	0.748667	0
