OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.500667	0.501667	0.878667	0
0.500667	0.502	0.88	0
0.500333	0.503333	0.885333	0
0.500333	0.509667	0.897667	0
0.500333	0.505	0.890667	0
0.500333	0.502	0.878333	0
0.500333	0.510667	0.899333	0
0.500333	0.505333	0.891	0
0.500333	0.504	0.889667	0
0.501	0.511	0.902333	0
0.500667	0.503667	0.889667	0
0.500333	0.506333	0.892333	0
0.501667	0.507333	0.897	0
0.501667	0.511667	0.904667	0
0.501333	0.507667	0.898	0
0.501667	0.503333	0.890333	0
0.500333	0.503	0.879667	0
0.501333	0.503667	0.890667	0
0.500667	0.511	0.902	0
0.500667	0.510333	0.900333	0
0.501	0.513667	0.905667	0
0.502	0.504	0.891333	0
0.500333	0.501667	0.877333	0
0.501	0.503	0.888	0
0.501333	0.513	0.906333	0
0.500333	0.508333	0.896	0
0.501	0.501667	0.879333	0
0.500333	0.507	0.893667	0
0.501667	0.510333	0.903	1
0.501	0.509	0.898667	0
0.501333	0.508667	0.898667	0
0.500667	0.503333	0.887333	0
0.501	0.502667	0.887667	0
0.501	0.506667	0.894667	0
0.500333	0.506667	0.893333	0
0.501	0.513	0.905333	0
0.501667	0.51	0.901	0
0.501	0.506333	0.894	0
0.501333	0.511	0.902667	0
0.501333	0.503	0.888667	0
0.500667	0.509333	0.899667	0
0.501667	0.504333	0.891667	0
0.501	0.508	0.897333	0
0.500333	0.502333	0.878667	0
0.501333	0.510333	0.901667	0
0.501667	0.511333	0.904333	0
0.501	0.512	0.903	0
0.501	0.503333	0.89	0
0.501667	0.512667	0.906333	0
0.500667	0.508667	0.897	0
0.501	0.512667	0.904667	0
0.501	0.504333	0.891333	0
0.500667	0.508333	0.896333	0
0.500333	0.504667	0.89	0
0.500333	0.506	0.891333	0
0.501333	0.512	0.904333	0
0.501667	0.506	0.894333	0
0.502	0.51	0.901667	0
0.501333	0.506667	0.895	0
0.501667	0.511	0.903333	0
0.502	0.512333	0.905	0
0.500667	0.504	0.890333	0
0.501333	0.509667	0.900667	0
0.500667	0.506	0.892	0
0.501	0.507667	0.896333	0
0.501333	0.505333	0.893	0
0.502	0.509	0.899333	0
0.500667	0.512333	0.903333	0
0.500333	0.513333	0.902333	0
0.501333	0.512667	0.905333	0
0.500667	0.509	0.897333	0
0.500333	0.508667	0.896333	0
0.501333	0.505667	0.893333	0
