OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.5	0.503	0.859	0
0.5	0.511333	0.868333	0
0.5	0.512667	0.869333	0
0.500333	0.501667	0.859333	0
0.5	0.502667	0.858333	0
0.500667	0.504	0.864333	0
0.500333	0.521	0.877333	0
0.505	0.519333	0.880333	0
0.500333	0.52	0.875	0
0.501333	0.520333	0.878667	0
0.500333	0.507333	0.868333	0
0.501667	0.508	0.870667	0
0.501667	0.507	0.869333	0
0.502667	0.521667	0.881	0
0.500333	0.520333	0.876	0
0.500333	0.507	0.867667	0
0.503	0.523333	0.883	0
0.500667	0.519333	0.876333	0
0.503333	0.519	0.879	0
0.501333	0.504333	0.865333	0
0.500333	0.502333	0.86	0
0.5	0.507	0.865333	0
0.502333	0.521667	0.88	0
0.503	0.512333	0.875667	0
0.500333	0.513	0.871333	0
0.501	0.506667	0.869	0
0.501333	0.507333	0.869667	0
0.503	0.522333	0.882	0
0.502	0.504	0.866333	0
0.501	0.52	0.878	0
0.501667	0.515	0.874667	0
0.503667	0.520667	0.881667	0
0.504333	0.519	0.88	0
0.503	0.514	0.876333	0
0.502667	0.512667	0.875667	0
0.501	0.504667	0.865333	0
0.503	0.514333	0.876667	0
0.501	0.506	0.868	0
0.501	0.506333	0.868667	0
0.501333	0.502667	0.864	0
0.502667	0.521	0.880333	0
0.501	0.508333	0.871667	0
0.502333	0.510667	0.874333	0
0.503333	0.520333	0.881	0
0.504667	0.520333	0.881667	0
0.500333	0.519333	0.873333	0
0.502333	0.523	0.881667	0
0.501	0.519	0.876	0
0.504	0.52	0.881	0
0.504	0.514667	0.877667	0
0.502	0.520333	0.879	0
0.500333	0.508	0.87	0
0.504333	0.518	0.878333	0
0.500333	0.501333	0.858	0
0.500333	0.504	0.862	0
0.501	0.505333	0.866667	0
0.500333	0.506333	0.866	0
0.500667	0.505667	0.866	0
0.503667	0.522667	0.883	0
0.503333	0.513	0.876	0
0.502333	0.52	0.879	0
0.502333	0.515333	0.876	0
0.503667	0.514667	0.877333	0
0.500667	0.506	0.867333	0
0.500667	0.520333	0.876667	0
0.500667	0.518333	0.875333	0
0.503667	0.518333	0.878667	0
0.501667	0.52	0.878333	0
0.505	0.519667	0.880667	0
0.502333	0.519667	0.878667	0
0.501667	0.507667	0.87	0
0.504	0.512333	0.876667	0
0.501667	0.504	0.865667	0
0.501667	0.514333	0.874	0
0.500667	0.508333	0.870667	0
0.501333	0.519333	0.877667	0
0.502667	0.522667	0.881667	0
0.502	0.520667	0.879333	0
0.502667	0.52	0.879667	0
0.500333	0.520667	0.877	0
0.500333	0.519667	0.874	0
0.502333	0.523333	0.882	0
0.503333	0.511667	0.874667	0
0.502667	0.514333	0.876	0
0.501333	0.505667	0.867	0
0.501333	0.503333	0.864333	0
0.503333	0.523	0.883	0
0.504333	0.520333	0.881333	0
0.501	0.509	0.873667	1
0.501333	0.505	0.866667	0
0.500333	0.505	0.864	0
0.503667	0.515	0.878	0
0.504	0.523333	0.883333	0
0.503333	0.519667	0.880333	0
0.502	0.519333	0.878333	0
0.502667	0.519333	0.879	0
0.502333	0.518667	0.878333	0
0.5	0.513333	0.869667	0
0.503	0.521333	0.881	0
0.500333	0.503	0.860333	0
0.500333	0.512667	0.871	0
0.500667	0.507	0.868333	0
0.504333	0.513333	0.877333	0
0.503667	0.512667	0.877	0
0.504	0.519	0.879667	0
0.502	0.518333	0.876	0
0.500667	0.506667	0.867667	0
0.501	0.503	0.863667	0
0.503	0.520667	0.880667	0
0.500333	0.519	0.873	0
0.503333	0.522667	0.882667	0
0.503333	0.515333	0.877	0
0.503667	0.512333	0.876	0
0.501667	0.504333	0.866	0
0.501667	0.518667	0.877	0
0.503333	0.523667	0.883667	0
0.500667	0.509333	0.872667	0
