OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.501333	0.506667	0.518667	0.539333	0.684333	0
0.503	0.507	0.516333	0.537667	0.680667	0
0.501667	0.508667	0.517333	0.537667	0.681	0
0.501667	0.507	0.516667	0.538667	0.682667	0
0.501667	0.506667	0.517333	0.538	0.681	0
0.501333	0.506	0.517667	0.537333	0.676667	0
0.501	0.506	0.519667	0.539	0.681667	0
0.502	0.506333	0.515333	0.537	0.675	0
0.501667	0.506667	0.516	0.540333	0.682667	0
0.501667	0.507333	0.516	0.539667	0.680333	0
0.502	0.507333	0.516333	0.541	0.683	0
0.503	0.507333	0.516333	0.542333	0.684333	0
0.501333	0.505667	0.517667	0.540667	0.681333	0
0.501333	0.505667	0.515667	0.540667	0.673	0
0.501667	0.505667	0.516667	0.539333	0.672333	0
0.501667	0.505667	0.515333	0.538333	0.669	0
0.501333	0.505667	0.515	0.541	0.670333	0
0.501333	0.505	0.515333	0.54	0.671	0
0.503	0.505667	0.519	0.541667	0.684333	0
0.502667	0.506	0.518	0.543	0.686	0
0.502667	0.505333	0.518333	0.542667	0.686	0
0.502	0.505	0.517667	0.542333	0.685	0
0.503333	0.506	0.521667	0.544667	0.687333	0
0.505	0.507	0.519	0.541667	0.685667	0
0.505	0.507667	0.519667	0.54	0.685	0
0.503333	0.506667	0.517333	0.544667	0.685667	0
0.502333	0.507667	0.518667	0.545333	0.686667	0
0.502667	0.506667	0.519667	0.544667	0.688	0
0.501667	0.507	0.518667	0.547667	0.686333	0
0.501667	0.507667	0.519	0.547333	0.688667	0
0.501333	0.507	0.519	0.544667	0.686333	0
0.501333	0.506667	0.519667	0.544667	0.685667	0
0.501667	0.506	0.518333	0.545333	0.685667	0
0.501333	0.507333	0.517667	0.542333	0.683333	0
0.501	0.507	0.518333	0.541333	0.683667	0
0.501333	0.507333	0.518	0.543333	0.683667	0
0.501333	0.507333	0.517333	0.543333	0.683333	0
0.501333	0.507	0.518	0.543667	0.684333	0
0.502667	0.507333	0.518	0.544333	0.686333	0
0.502333	0.507333	0.517333	0.546	0.686667	0
0.502333	0.507	0.517	0.541667	0.684333	0
0.502667	0.507	0.517	0.542667	0.685	0
0.503	0.507	0.516667	0.544	0.685333	0
0.502667	0.51	0.518333	0.543333	0.690333	0
0.502333	0.509333	0.517667	0.544667	0.688667	0
0.503	0.508333	0.518333	0.543	0.689	1
0.502	0.508	0.518667	0.542333	0.687333	0
0.503667	0.508667	0.519	0.544	0.689667	0
0.504	0.508	0.518667	0.543	0.689333	0
0.503333	0.508667	0.518667	0.545333	0.691333	0
0.503333	0.509	0.519667	0.546	0.692	0
0.501333	0.506333	0.517333	0.541333	0.682	0
0.501333	0.506333	0.517667	0.541667	0.682667	0
0.501	0.505667	0.518333	0.543	0.682	0
0.502	0.505667	0.517333	0.543	0.682667	0
0.502333	0.507	0.518333	0.542333	0.686	0
0.501667	0.506667	0.516667	0.539	0.682333	0
0.501	0.507	0.517333	0.539333	0.682	0
0.501667	0.507667	0.517	0.539	0.683	0
0.501333	0.505667	0.519333	0.54	0.683	0
0.502333	0.505333	0.519	0.538333	0.682	0
0.501333	0.505333	0.518333	0.539	0.682333	0
0.502	0.506	0.518	0.538	0.683667	0
0.501667	0.505667	0.517667	0.538667	0.681333	0
0.501333	0.506667	0.518333	0.539	0.683667	0
0.501	0.505667	0.518333	0.538667	0.681	0
0.501667	0.506	0.518	0.538	0.683	0
0.501333	0.506	0.518667	0.537	0.680667	0
0.501	0.505667	0.517667	0.539333	0.680667	0
0.501333	0.505667	0.517333	0.539	0.678667	0
0.501	0.506	0.516667	0.537667	0.678333	0
0.500667	0.506	0.517667	0.538	0.680333	0
0.500667	0.505333	0.517667	0.539	0.68	0
0.501667	0.507	0.517	0.537667	0.679	0
0.501333	0.505667	0.517333	0.541333	0.681	0
0.502333	0.506667	0.517	0.538333	0.680667	0
0.501667	0.506	0.517667	0.538	0.681	0
0.501333	0.507333	0.516667	0.538333	0.680667	0
0.502	0.506	0.516333	0.538667	0.681667	0
0.501667	0.507	0.518	0.539333	0.684	0
0.501667	0.507333	0.519333	0.539	0.684	0
0.502	0.506333	0.518333	0.539667	0.684	0
0.502667	0.507333	0.516333	0.538	0.680333	0
0.502	0.507667	0.517	0.538	0.681	0
0.502	0.508333	0.517	0.537333	0.679667	0
0.501333	0.508667	0.518667	0.538	0.682333	0
0.502333	0.507333	0.516333	0.538333	0.682	0
0.502	0.506333	0.516667	0.537667	0.679333	0
0.501667	0.505667	0.517	0.538	0.676333	0
0.501667	0.506333	0.516333	0.539333	0.676333	0
0.502	0.506333	0.515333	0.536333	0.673667	0
0.502	0.506	0.516	0.536333	0.673	0
0.503	0.507	0.516333	0.540333	0.683333	0
0.503	0.507333	0.516	0.539333	0.68	0
0.502	0.506333	0.516333	0.540333	0.682667	0
0.501667	0.506333	0.516667	0.541	0.682	0
0.501333	0.507	0.516667	0.539333	0.683	0
0.501333	0.507333	0.516333	0.540333	0.679	0
0.502667	0.507333	0.516333	0.540333	0.683	0
0.502	0.506	0.515333	0.540333	0.680667	0
